soilseries_id,planting_time,area,soil,rotate_plant_type,cultivation_period,weed_category,weed_type,weed_remove,weed_remove_drug,grass_killer,fertilizing,fertilizer_name,fertilizer_volume_kg,hormone,hormone_volume_liter,flour_percentage
2,1,3,1,1,10,3,7,1,2,2,1,2,1,1,1,33
10,1,1,1,1,8,1,7,2,0,0,1,2,8,0,0,6
11,0,1,1,2,0,2,8,2,0,0,1,2,5,1,5,24
12,0,1,2,1,0,3,3,1,2,1,1,2,9,1,1,5
13,0,2,4,2,8,1,4,3,2,1,1,2,1,1,1,10
14,0,3,4,1,8,2,5,3,1,2,1,1,1,1,2,23
15,1,1,1,3,8,3,6,1,2,1,1,2,3,1,1,19
16,0,3,2,1,8,3,2,1,1,1,1,2,1,1,2,26
17,0,3,2,1,10,3,3,3,2,1,1,2,4,0,0,35
22,1,3,2,2,8,3,3,3,1,1,1,1,2,1,9,35
14,1,1,1,1,8,1,3,1,2,1,1,1,1,1,1,18
15,1,1,1,3,9,2,3,3,1,2,1,1,4,1,3,20
22,1,1,4,1,8,3,4,0,2,2,1,1,5,1,1,27
22,0,3,2,3,8,3,5,3,2,2,0,0,0,1,1,17
23,0,3,2,1,0,3,6,1,2,1,1,2,7,1,1,11
24,1,2,2,3,0,1,7,1,2,2,1,2,1,1,5,6
14,1,1,2,1,11,2,7,3,1,2,1,2,2,1,2,20
15,1,1,2,1,11,3,2,2,2,2,1,2,5,1,1,29
22,0,2,2,1,11,3,7,3,2,1,1,2,1,1,1,3
29,0,3,1,3,11,3,1,1,1,1,1,2,1,1,8,25
30,1,2,1,1,11,3,7,3,1,1,1,1,1,1,1,3
15,1,2,2,1,0,1,1,2,1,1,0,0,0,1,5,1
4,1,2,2,1,8,2,1,3,1,1,1,2,6,1,1,11
5,1,2,2,2,8,1,7,3,0,1,1,1,2,1,2,9
6,0,3,2,2,8,2,1,3,0,1,1,2,8,0,0,7
7,0,1,2,1,8,3,7,2,1,1,1,2,1,1,1,25
8,1,3,2,2,8,3,2,3,1,2,1,2,5,1,1,12
9,1,3,2,2,8,1,2,3,0,2,1,1,1,1,2,6
27,1,2,1,2,8,2,2,1,0,2,1,2,1,1,1,26
28,0,2,1,3,0,3,7,3,0,0,0,0,0,1,4,4
28,0,2,2,1,0,3,7,3,1,2,1,2,1,1,1,15
16,1,2,2,2,8,3,6,3,2,0,1,2,5,1,5,5
17,1,3,2,2,0,3,7,1,2,0,1,2,4,1,2,30
32,1,3,1,2,0,3,3,3,1,1,1,1,4,1,1,29
18,0,2,1,2,8,2,7,2,2,1,1,2,3,1,1,11
19,0,1,2,3,8,2,7,3,1,1,1,1,1,1,3,20
20,0,1,2,2,8,2,3,1,2,1,0,0,0,1,1,5
21,0,3,1,2,8,2,3,1,1,1,1,2,2,0,0,9
21,1,3,1,3,0,2,4,2,2,1,0,0,0,1,2,5
